"x";"y";"z";"E";"n"
-18;-29;24;0;0
-18;-28;12;1;1
-19;-28;14;0;0
-19;-28;15;1;2
-19;-28;18;1;5
-19;-28;19;0;0
-19;-28;22;0;0
-19;-28;24;0;0
-19;-27;10;0;0
-19;-27;12;0;0
-19;-27;14;0;0
-19;-27;15;1;5
-19;-27;16;1;1
-19;-27;19;0;0
-19;-27;20;0;0
-19;-27;22;0;0
-19;-27;23;0;0
-19;-27;24;0;0
-19;-26;10;0;0
-19;-26;12;0;0
-20;-26;14;0;0
-20;-26;15;1;1
-20;-26;16;1;1
-20;-26;18;1;4
-20;-26;19;1;2
-20;-26;20;0;0
-20;-26;21;0;0
-20;-27;24;1;1
-20;-25;10;0;0
-20;-25;16;1;11
-20;-25;17;1;4
-20;-25;20;0;0
-20;-26;23;0;0
-21;-26;25;0;0
-21;-26;26;1;9
-20;-24;10;0;0
-20;-24;11;1;1
-20;-24;13;1;5
-21;-24;18;1;2
-21;-25;21;0;0
-21;-25;22;0;0
-21;-25;24;0;0
-21;-25;25;1;6
-21;-25;27;1;9
-21;-23;11;0;0
-21;-23;12;0;0
-21;-23;14;1;18
-21;-23;16;1;6
-21;-24;17;1;2
-21;-24;18;0;0
-21;-24;19;1;2
-21;-24;21;0;0
-21;-24;22;1;6
-22;-24;24;1;1
-22;-24;27;1;2
-21;-22;11;1;1
-22;-22;15;1;7
-22;-23;16;0;0
-22;-23;18;1;3
-22;-23;20;0;0
-22;-23;22;1;2
-22;-23;23;1;4
-22;-23;23;0;0
-22;-23;27;1;3
-22;-21;11;1;3
-22;-21;12;0;0
-22;-21;13;1;10
-22;-22;14;1;2
-22;-22;16;1;1
-22;-22;17;0;0
-22;-22;18;1;3
-22;-22;20;1;1
-22;-22;22;1;3
-23;-22;24;0;0
-23;-22;25;0;0
-23;-22;26;0;0
-23;-22;29;1;3
-22;-21;13;1;1
-23;-21;14;0;0
-23;-21;15;0;0
-23;-21;17;0;0
-23;-21;18;0;0
-23;-21;19;0;0
-23;-21;20;0;0
-23;-21;21;1;2
-23;-21;23;0;0
-23;-21;24;0;0
-23;-21;25;0;0
-23;-21;26;0;0
-23;-21;28;1;6
-23;-21;29;1;1
-23;-20;11;0;0
-23;-20;12;0;0
-23;-20;13;0;0
-23;-20;14;0;0
-23;-20;16;1;1
-23;-20;18;1;1
-23;-20;20;1;2
-23;-20;21;1;6
-23;-20;22;1;5
-24;-20;24;0;0
-24;-20;25;0;0
-24;-20;28;1;1
-24;-20;29;1;3
-23;-19;10;0;0
-24;-19;14;0;0
-24;-19;16;1;2
-24;-19;17;1;7
-24;-19;20;0;0
-24;-19;23;0;0
-24;-19;25;0;0
-24;-20;29;1;4
-24;-18;10;0;0
-24;-18;11;0;0
-24;-18;15;1;1
-24;-18;17;1;10
-24;-18;18;1;13
-25;-18;25;0;0
-25;-19;28;1;3
-24;-17;10;1;6
-24;-17;11;0;0
-25;-17;14;0;0
-25;-17;16;1;1
-25;-17;17;1;2
-25;-18;25;1;3
-25;-18;28;1;1
-25;-18;29;1;1
-25;-16;10;0;0
-25;-16;15;0;0
-25;-16;16;0;0
-25;-16;17;0;0
-25;-16;18;1;3
-25;-16;20;0;0
-26;-17;24;0;0
-26;-17;25;0;0
-26;-17;26;0;0
-26;-17;28;1;1
-25;-15;10;0;0
-26;-15;15;0;0
-26;-15;17;0;0
-26;-16;22;0;0
-26;-16;24;0;0
-26;-16;25;1;2
-26;-16;26;0;0
-26;-16;28;0;0
-26;-14;11;0;0
-26;-14;12;0;0
-26;-14;16;0;0
-26;-15;17;1;1
-26;-15;20;1;2
-26;-15;21;0;0
-27;-15;24;1;1
-27;-15;25;0;0
-27;-15;28;0;0
-26;-13;12;1;5
-26;-13;13;0;0
-27;-14;16;0;0
-27;-14;17;0;0
-27;-14;18;0;0
-27;-14;20;0;0
-27;-14;22;0;0
-27;-14;23;1;1
-27;-14;27;1;2
-27;-14;28;0;0
-12;-38;12;1;2
-12;-37;14;0;0
-13;-36;12;1;6
-13;-35;12;0;0
-13;-35;13;1;1
-13;-35;17;1;1
-13;-34;11;1;9
-14;-34;12;0;0
-14;-34;14;0;0
-14;-35;16;1;2
-14;-35;17;1;2
-14;-35;19;1;4
-14;-33;11;1;1
-14;-34;15;1;1
-14;-34;16;1;7
-14;-34;19;1;5
-14;-32;11;1;1
-15;-32;12;1;2
-15;-33;13;1;8
-15;-33;18;1;2
-15;-32;11;0;0
-15;-32;13;1;5
-15;-32;17;1;1
-15;-32;18;1;4
-15;-32;20;1;4
-15;-32;21;1;1
-15;-32;22;0;0
-15;-31;11;1;3
-16;-31;15;1;4
-16;-31;19;1;1
-16;-31;22;1;2
-16;-31;23;0;0
-16;-30;10;1;3
-16;-30;17;0;0
-16;-30;18;0;0
-16;-30;21;1;1
-16;-31;23;0;0
-16;-31;24;1;2
-17;-29;12;1;23
-17;-29;15;1;5
-17;-29;17;0;0
-17;-29;18;0;0
-17;-29;20;1;4
