x;y;z;E;n;objname;pgc;al2000;de2000;r
-24;0;20;1;1;PGC2162312;2162312;12,0840209;40,2070277;730797,243132678
-23;0;21;1;0;PGC2200642;2200642;12,0840199;42,5256347;723093,719782433
-18;0;25;1;1;PGC2462486;2462486;12,084119;54,1946251;698269,736374181
-24;0;29;1;1;PGC2383624;2383624;12,084447;50,8593612;868927,353056671
-24;0;21;1;0;PGC2170980;2170980;12,0845785;40,790962;728793,928008828
-18;0;25;1;1;SDSSJ120504.72+541259.5;3476423;12,0846451;54,2165258;700161,092484624
-21;0;32;1;1;2MASXJ12050499+5707453;3476424;12,0847043;57,1293677;882638,038674673
-28;0;12;1;1;SDSSJ120505.00+233625.6;4309987;12,084718;23,6070534;707607,97536094
-37;0;13;1;0;2MASXJ12050535+1944111;3782095;12,0848158;19,7364992;899617,043753792
-25;0;14;1;1;PGC1889202;1889202;12,0850276;30,0737243;651829,529699668
-13;0;29;1;0;SDSSJ120506.28+654510.7;3361385;12,0850773;65,7529355;717544,751683342
-14;0;27;1;1;SDSSJ120506.54+620540.7;3383612;12,0851503;62,0946082;698017,870757619
-16;0;21;1;1;2MASXJ12050666+5222409;3401763;12,0851899;52,3781331;621134,612540905
-28;0;18;1;1;PGC2025922;2025922;12,0852903;33,1901097;769436,611296491
-15;0;28;1;1;PGC2605598;2605598;12,0853216;60,696499;727020,066506973
-24;0;21;1;0;SDSSJ120509.04+404916.8;4102285;12,0858506;40,8212723;736850,68401825
-32;0;12;1;0;PGC1657087;1657087;12,0859805;21,779232;777005,517810465
-14;0;27;1;1;2MASXJ12050973+6156421;3383617;12,0860404;61,9450362;700212,916685152
-24;0;20;1;1;SDSSJ120509.85+403725.8;4102288;12,0860758;40,623844;723137,282758567
-38;0;21;1;1;PGC1872051;1872051;12,0862572;29,6150009;991600,054277188
-25;0;28;1;1;SDSSJ120510.67+483754.4;3547837;12,0862971;48,6317875;861040,752911172
-27;0;17;1;1;PGC083529;83529;12,0863936;32,7856372;748177,742482111
-27;0;17;1;1;SDSSJ120511.28+324316.6;4102291;12,0864736;32,7212331;742330,412930699
-20;0;18;1;1;PGC2179888;2179888;12,0866417;41,3596059;628535,9996689
-37;0;13;1;0;PGC1603792;1603792;12,0867344;19,7414173;891919,070566589
-23;0;22;1;1;PGC2221270;2221270;12,0867409;43,4586467;736552,95891732
-27;0;30;1;1;SDSSJ120512.84+482142.4;3547839;12,0869028;48,3617809;933263,870330224
-23;0;21;1;0;PGC2205105;2205105;12,0869478;42,7370368;713403,297536311
-24;0;14;1;1;PGC1907358;1907358;12,0869812;30,527855;653612,474213016
-29;0;30;1;0;SDSSJ120513.22+454807.0;3547841;12,0870058;45,8019879;948706,721991923
-15;0;28;1;1;SDSSJ120513.57+610625.2;3410000;12,0871013;61,1070216;721340,241236996
-11;0;25;1;0;2MASXJ12051387+6508301;3361206;12,0872037;65,1417127;638392,269130283
-17;0;24;1;0;2MASXJ12051418+5437053;3476436;12,0872561;54,6181344;680754,855759255
-26;0;29;1;1;PGC2317105;2317105;12,0872707;48,4216557;886411,924649085
-24;0;23;1;1;PGC2216561;2216561;12,0875776;43,2582341;759767,419178348
-26;0;29;1;1;PGC2312699;2312699;12,0876303;48,2123502;884527,393286346
-23;0;22;1;1;PGC038276;38276;12,087657;43,1690081;734622,524381739
-27;0;30;1;1;SDSSJ120515.67+482832.0;3547843;12,0876838;48,4755933;931223,907947466
-38;0;13;1;0;PGC1590037;1590037;12,0877309;19,3739639;911438,918588131
-21;0;20;1;1;SDSSJ120516.70+433026.4;3547847;12,0879791;43,507335;676831,909193988
-24;0;23;1;1;SDSSJ120517.28+430534.8;3547848;12,0881333;43,0930447;765820,770586976
-22;0;32;1;1;2MASXJ12051753+5446553;3476444;12,0881985;54,7822739;896060,120406616
-18;0;25;1;1;PGC2461234;2461234;12,088228;54,1498363;715662,920997372
-18;0;24;1;1;PGC2452498;2452498;12,088255;53,8465615;692212,093176474
-23;0;30;1;1;PGC2415519;2415519;12,0885415;52,4594887;855062,581414325
-24;0;29;1;1;SDSSJ120518.77+502350.1;3411568;12,0885437;50,3972957;874558,503052515
