Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj;;;;;
557.906;5.200.582;1,899;293.790;293.461;269.799;;;;;
Den. = milesimas de galaxia por Mal al cubo;;;;;;;;;;
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;;;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj;;;;
4045;862;1181;413;0,00412;0,01071;0,003745;;;;
4055;862;1143;492;0,0041;0,01031;0,004439;;;;
4065;923;1144;446;0,00436;0,01027;0,004005;;;;
4075;918;1190;489;0,00432;0,01063;0,004369;;;;
4085;914;1183;427;0,00428;0,01052;0,003797;;;;
4095;945;1209;512;0,0044;0,0107;0,00453;;;;
4105;869;1184;432;0,00403;0,01042;0,003804;;;;
4115;971;1211;509;0,00448;0,01061;0,00446;;;;
4125;969;1219;473;0,00445;0,01063;0,004124;;;;
4135;947;1223;505;0,00433;0,01061;0,004382;;;;
4145;1039;1198;566;0,00472;0,01035;0,004888;;;;
4155;1082;1204;596;0,0049;0,01035;0,005122;;;;
4165;1040;1170;588;0,00468;0,01001;0,005029;;;;
4175;1064;1195;583;0,00477;0,01017;0,004963;;;;
4185;1063;1234;510;0,00474;0,01045;0,00432;;;;
4195;1065;1277;535;0,00473;0,01077;0,004511;;;;
4205;1062;1208;581;0,00469;0,01014;0,004875;;;;
4215;1020;1233;524;0,00449;0,0103;0,004376;;;;
4225;1007;1233;519;0,00441;0,01025;0,004314;;;;
4235;943;1181;526;0,00411;0,00977;0,004351;;;;
4245;1022;1298;518;0,00443;0,01069;0,004265;;;;
4255;1010;1240;549;0,00436;0,01016;0,004499;;;;
4265;957;1287;480;0,00411;0,0105;0,003915;;;;
4275;979;1268;511;0,00419;0,01029;0,004149;;;;
4285;962;1277;572;0,00409;0,01032;0,004622;;;;
4295;920;1271;468;0,0039;0,01022;0,003764;;;;
4305;938;1299;490;0,00395;0,0104;0,003923;;;;
4315;959;1278;540;0,00402;0,01018;0,004303;;;;
4325;975;1295;549;0,00407;0,01027;0,004355;;;;
4335;948;1354;508;0,00394;0,01069;0,004011;;;;
4345;947;1321;465;0,00392;0,01038;0,003654;;;;
4355;865;1358;430;0,00356;0,01062;0,003364;;;;
4365;935;1343;514;0,00383;0,01046;0,004003;;;;
4375;842;1413;397;0,00344;0,01095;0,003077;;;;
4385;862;1366;478;0,0035;0,01054;0,003688;;;;
4395;918;1316;478;0,00371;0,01011;0,003672;;;;
4405;1005;1418;515;0,00405;0,01084;0,003938;;;;
4415;1010;1379;509;0,00405;0,0105;0,003874;;;;
4425;995;1362;528;0,00397;0,01032;0,004001;;;;
4435;1006;1418;520;0,004;0,0107;0,003922;;;;
4445;953;1374;531;0,00377;0,01032;0,003987;;;;
4455;1003;1411;500;0,00395;0,01055;0,003738;;;;
4465;995;1442;492;0,0039;0,01073;0,003662;;;;
4475;988;1356;518;0,00385;0,01005;0,003838;;;;
4485;959;1400;507;0,00372;0,01033;0,00374;;;;
4495;930;1411;495;0,0036;0,01036;0,003635;;;;
4505;894;1460;438;0,00344;0,01067;0,003202;;;;
4515;952;1422;512;0,00365;0,01035;0,003726;;;;
4525;933;1447;506;0,00356;0,01049;0,003667;;;;
4535;851;1468;443;0,00323;0,01059;0,003196;;;;
4545;902;1414;496;0,00341;0,01016;0,003563;;;;
4555;948;1471;508;0,00357;0,01052;0,003633;;;;
4565;966;1475;504;0,00362;0,0105;0,003588;;;;
4575;974;1479;554;0,00364;0,01048;0,003927;;;;
4585;937;1536;479;0,00348;0,01084;0,003381;;;;
4595;905;1532;461;0,00335;0,01077;0,003239;;;;
4605;906;1465;524;0,00334;0,01025;0,003666;;;;
